,level,fly,bf
0,0.476,0.587,0.492
1,0.667,0.508,0.429
2,0.619,0.635,0.492
3,0.603,0.524,0.54
4,0.762,0.587,0.524
5,0.683,0.651,0.444
6,0.619,0.603,0.46
7,0.619,0.556,0.524
8,0.635,0.587,0.476
9,0.587,0.587,0.381
10,0.587,0.619,0.492
11,0.587,0.492,0.492
12,0.587,0.587,0.524
13,0.635,0.492,0.46
14,0.54,0.54,0.429
15,0.683,0.54,0.476
16,0.571,0.556,0.571
17,0.651,0.603,0.46
18,0.556,0.587,0.444
19,0.619,0.524,0.54
20,0.603,0.683,0.444
21,0.603,0.571,0.476
22,0.587,0.651,0.524
23,0.635,0.619,0.54
24,0.667,0.667,0.54
25,0.651,0.667,0.476
26,0.54,0.73,0.571
27,0.587,0.635,0.413
28,0.619,0.492,0.508
29,0.683,0.587,0.46
30,0.587,0.603,0.508
31,0.635,0.571,0.46
32,0.587,0.619,0.492
33,0.571,0.619,0.46
34,0.635,0.556,0.476
35,0.667,0.603,0.381
36,0.651,0.571,0.54
37,0.603,0.571,0.492
38,0.73,0.619,0.444
39,0.556,0.54,0.556
40,0.635,0.556,0.46
41,0.603,0.619,0.46
42,0.619,0.587,0.429
43,0.619,0.524,0.54
44,0.571,0.54,0.444
45,0.508,0.556,0.603
46,0.571,0.54,0.46
47,0.603,0.571,0.54
48,0.635,0.556,0.508
49,0.651,0.476,0.429
50,0.667,0.587,0.476
51,0.619,0.556,0.381
52,0.667,0.619,0.508
53,0.667,0.556,0.46
54,0.698,0.651,0.508
55,0.683,0.556,0.429
56,0.667,0.619,0.444
57,0.667,0.603,0.476
58,0.603,0.667,0.444
59,0.524,0.508,0.413
60,0.619,0.492,0.46
61,0.571,0.571,0.413
62,0.667,0.603,0.46
63,0.619,0.587,0.556
64,0.651,0.508,0.476
65,0.571,0.571,0.524
66,0.651,0.571,0.492
67,0.587,0.524,0.492
68,0.683,0.587,0.476
69,0.571,0.46,0.444
70,0.651,0.524,0.508
71,0.698,0.508,0.492
72,0.73,0.603,0.508
73,0.619,0.603,0.46
74,0.635,0.571,0.397
75,0.571,0.667,0.476
76,0.635,0.651,0.508
77,0.667,0.667,0.46
78,0.683,0.587,0.492
79,0.603,0.54,0.508
80,0.667,0.603,0.54
81,0.635,0.556,0.556
82,0.698,0.603,0.524
83,0.667,0.667,0.476
84,0.556,0.476,0.556
85,0.651,0.635,0.508
86,0.651,0.619,0.46
87,0.667,0.556,0.524
88,0.587,0.651,0.476
89,0.635,0.667,0.508
90,0.635,0.683,0.508
91,0.524,0.492,0.508
92,0.683,0.603,0.46
93,0.667,0.587,0.492
94,0.651,0.667,0.476
95,0.556,0.603,0.587
96,0.54,0.556,0.46
97,0.587,0.54,0.476
98,0.667,0.571,0.508
99,0.571,0.508,0.444
100,0.571,0.587,0.508
101,0.683,0.54,0.524
102,0.587,0.54,0.444
103,0.619,0.587,0.508
104,0.698,0.683,0.46
105,0.619,0.667,0.413
106,0.603,0.54,0.46
107,0.667,0.698,0.429
108,0.571,0.587,0.492
109,0.524,0.587,0.492
110,0.603,0.524,0.413
111,0.683,0.635,0.508
112,0.635,0.524,0.413
113,0.651,0.603,0.476
114,0.54,0.508,0.46
115,0.635,0.571,0.476
116,0.683,0.571,0.476
117,0.651,0.603,0.381
118,0.556,0.651,0.46
119,0.667,0.571,0.429
120,0.587,0.651,0.524
121,0.667,0.571,0.492
122,0.571,0.54,0.492
123,0.619,0.603,0.429
124,0.73,0.619,0.524
125,0.635,0.54,0.413
126,0.603,0.492,0.429
127,0.683,0.508,0.524
128,0.619,0.556,0.46
129,0.603,0.635,0.492
130,0.683,0.619,0.476
131,0.667,0.476,0.429
132,0.571,0.651,0.492
133,0.54,0.46,0.476
134,0.667,0.667,0.476
135,0.651,0.556,0.508
136,0.619,0.619,0.508
137,0.714,0.54,0.524
138,0.603,0.619,0.429
139,0.587,0.571,0.476
140,0.635,0.651,0.413
141,0.635,0.54,0.429
142,0.524,0.492,0.46
143,0.603,0.556,0.397
144,0.635,0.651,0.476
