,level,fly,bf
0,0.476,0.587,0.508
1,0.683,0.508,0.429
2,0.587,0.619,0.413
3,0.619,0.571,0.556
4,0.778,0.571,0.476
5,0.667,0.587,0.413
6,0.619,0.619,0.46
7,0.635,0.571,0.444
8,0.651,0.524,0.492
9,0.54,0.651,0.397
10,0.571,0.635,0.492
11,0.587,0.508,0.508
12,0.603,0.587,0.587
13,0.587,0.508,0.444
14,0.524,0.556,0.397
15,0.667,0.571,0.476
16,0.556,0.508,0.54
17,0.667,0.587,0.508
18,0.54,0.603,0.46
19,0.619,0.508,0.508
20,0.619,0.635,0.476
21,0.603,0.587,0.492
22,0.603,0.667,0.476
23,0.603,0.603,0.492
24,0.683,0.619,0.476
25,0.635,0.635,0.476
26,0.556,0.714,0.54
27,0.571,0.698,0.429
28,0.619,0.508,0.46
29,0.698,0.54,0.46
30,0.587,0.571,0.524
31,0.667,0.571,0.397
32,0.571,0.651,0.524
33,0.587,0.587,0.492
34,0.619,0.524,0.429
35,0.635,0.635,0.397
36,0.683,0.54,0.524
37,0.587,0.571,0.476
38,0.683,0.619,0.397
39,0.556,0.524,0.508
40,0.619,0.524,0.492
41,0.619,0.651,0.444
42,0.619,0.571,0.444
43,0.635,0.587,0.508
44,0.587,0.54,0.476
45,0.524,0.587,0.603
46,0.571,0.524,0.492
47,0.635,0.587,0.556
48,0.619,0.54,0.46
49,0.667,0.571,0.413
50,0.683,0.603,0.524
51,0.619,0.619,0.429
52,0.619,0.603,0.492
53,0.683,0.54,0.444
54,0.667,0.635,0.524
55,0.683,0.667,0.365
56,0.635,0.635,0.46
57,0.635,0.619,0.46
58,0.603,0.667,0.46
59,0.524,0.524,0.413
60,0.587,0.476,0.46
61,0.587,0.54,0.476
62,0.651,0.54,0.492
63,0.571,0.587,0.556
64,0.635,0.524,0.476
65,0.556,0.524,0.46
66,0.651,0.524,0.492
67,0.571,0.508,0.46
68,0.698,0.524,0.429
69,0.556,0.444,0.46
70,0.667,0.492,0.46
71,0.698,0.508,0.476
72,0.73,0.571,0.492
73,0.603,0.54,0.492
74,0.683,0.54,0.381
75,0.619,0.667,0.508
76,0.635,0.683,0.508
77,0.651,0.683,0.492
78,0.683,0.556,0.444
79,0.619,0.556,0.556
80,0.651,0.603,0.492
81,0.619,0.524,0.429
82,0.683,0.556,0.524
83,0.667,0.603,0.476
84,0.508,0.476,0.508
85,0.651,0.54,0.508
86,0.603,0.54,0.429
87,0.651,0.508,0.476
88,0.587,0.603,0.508
89,0.619,0.73,0.508
90,0.619,0.698,0.492
91,0.556,0.524,0.524
92,0.683,0.587,0.429
93,0.667,0.556,0.46
94,0.635,0.603,0.444
95,0.524,0.524,0.556
96,0.54,0.587,0.444
97,0.619,0.524,0.429
98,0.651,0.54,0.46
99,0.556,0.508,0.476
100,0.587,0.603,0.413
101,0.667,0.524,0.54
102,0.556,0.508,0.46
103,0.587,0.571,0.508
104,0.683,0.619,0.413
105,0.603,0.651,0.381
106,0.619,0.524,0.46
107,0.683,0.619,0.444
108,0.556,0.54,0.413
109,0.524,0.603,0.46
110,0.587,0.603,0.429
111,0.667,0.603,0.476
112,0.619,0.492,0.46
113,0.651,0.635,0.444
114,0.556,0.508,0.444
115,0.667,0.571,0.46
116,0.667,0.524,0.476
117,0.651,0.54,0.381
118,0.524,0.683,0.429
119,0.667,0.571,0.476
120,0.556,0.683,0.492
121,0.619,0.587,0.492
122,0.571,0.603,0.476
123,0.603,0.587,0.429
124,0.746,0.587,0.492
125,0.635,0.54,0.381
126,0.651,0.492,0.444
127,0.651,0.54,0.46
128,0.619,0.587,0.492
129,0.619,0.619,0.492
130,0.667,0.571,0.46
131,0.651,0.508,0.429
132,0.603,0.54,0.476
133,0.556,0.476,0.46
134,0.667,0.635,0.524
135,0.651,0.508,0.54
136,0.619,0.635,0.492
137,0.698,0.603,0.492
138,0.587,0.587,0.413
139,0.587,0.571,0.429
140,0.619,0.667,0.413
141,0.651,0.54,0.349
142,0.524,0.54,0.444
143,0.603,0.54,0.397
144,0.619,0.619,0.444
145,0.571,0.651,0.444
146,0.635,0.46,0.476
147,0.667,0.587,0.444
148,0.54,0.508,0.46
149,0.54,0.651,0.508
150,0.508,0.524,0.476
151,0.683,0.587,0.429
152,0.571,0.603,0.46
153,0.619,0.587,0.46
154,0.571,0.571,0.397
155,0.508,0.603,0.333
156,0.587,0.556,0.429
157,0.619,0.524,0.46
158,0.651,0.54,0.46
159,0.651,0.714,0.444
160,0.571,0.587,0.492
161,0.651,0.556,0.492
162,0.556,0.603,0.571
163,0.54,0.619,0.444
164,0.635,0.587,0.492
165,0.603,0.667,0.476
166,0.73,0.651,0.524
167,0.587,0.54,0.46
168,0.587,0.54,0.508
169,0.603,0.587,0.556
170,0.603,0.54,0.413
171,0.508,0.73,0.476
172,0.667,0.54,0.444
173,0.603,0.587,0.46
174,0.603,0.492,0.476
175,0.603,0.587,0.508
176,0.571,0.587,0.413
177,0.667,0.651,0.54
178,0.619,0.556,0.413
179,0.603,0.587,0.46
180,0.619,0.587,0.508
181,0.635,0.54,0.46
182,0.556,0.683,0.524
183,0.683,0.556,0.492
184,0.556,0.556,0.508
185,0.571,0.619,0.476
186,0.603,0.492,0.444
187,0.571,0.556,0.492
188,0.587,0.667,0.429
189,0.698,0.635,0.492
190,0.619,0.476,0.46
191,0.508,0.476,0.476
192,0.603,0.54,0.492
193,0.667,0.651,0.476
194,0.603,0.667,0.444
195,0.667,0.651,0.571
196,0.619,0.603,0.556
197,0.651,0.667,0.444
198,0.667,0.492,0.46
199,0.635,0.587,0.413
200,0.683,0.571,0.444
201,0.603,0.587,0.524
202,0.54,0.619,0.444
203,0.651,0.492,0.46
204,0.54,0.556,0.429
205,0.54,0.556,0.46
206,0.603,0.508,0.492
207,0.635,0.556,0.429
208,0.714,0.54,0.381
